Loss,Iteration
0.665911973526755,0
0.6598550970421873,1
0.5104947086030037,2
0.4932533597238017,3
0.48189551406118736,4
0.44232840371836474,5
0.4378551460516921,6
0.43281967037849745,7
0.43230253312180583,8
0.43163043839155624,9
0.43157454526473055,10
0.4315185761851388,11
0.43147571320033035,12
0.431347923152099,13
0.4311294771006259,14
0.43082087208645453,15
0.4303667105279937,16
0.4300510079654259,17
0.4299303681113771,18
0.429772973616605,19
0.42970106100855043,20
0.4296422979692934,21
0.4295760252902981,22
0.42954569221099137,23
0.4295233001954172,24
0.4295056101703843,25
0.4294866021511706,26
0.4294817279364666,27
0.42947464037370064,28
0.42947249740214594,29
0.4294710619383467,30
0.42946928837601395,31
0.42946815770035374,32
0.4294677096557503,33
0.42946718688980057,34
0.4294670050371271,35
0.42946694839558514,36
0.4294668978777185,37
0.42946683669160163,38
0.42946679529706594,39
0.42946676976901854,40
0.42946676201742895,41
0.42946675142022694,42
0.4294667435674102,43
